album,price,rating,have,want,genre
"Nilsson* - Knnillssonn (LP, Album)",$15.00,Rated: 4.02,1340 have,215 want,N/A
"Rockin' Horse (2) - Rockin' Horse (LP, Album)",$10.00,Rated: 4.26,272 have,212 want,N/A
"The Beatles - Abbey Road (LP, Album, RE, RP, Rai)",$30.00,Rated: 4.64,484 have,1053 want,N/A
"Rod Stewart - Foot Loose & Fancy Free (LP, Album, Jac)",$3.99,Rated: 3.70,7628 have,110 want,N/A
"Bob Weir - Heaven Help The Fool (LP, Album, Ter)",$6.00,Rated: 3.90,1770 have,92 want,N/A
"Keith Urban - Ripcord (LP, Album)",$20.00,Rated: 4.23,816 have,127 want,N/A
"Aerosmith - Toys In The Attic (LP, Album, Pit)",$8.00,Rated: 4.02,22835 have,2603 want,N/A
"The J. Geils Band - Bloodshot (LP, Album, PR )",$5.00,Rated: 3.50,143 have,38 want,N/A
"Phil Ochs - There But For Fortune (2xLP, Comp)",$39.50,Rated: 5.00,15 have,24 want,N/A
"Mott The Hoople - The Hoople (LP, Album, TX )",$10.00,Rated: 3.89,2561 have,144 want,N/A
"Electric Light Orchestra - A New World Record (LP, Album, Ter)",$7.00,Rated: 4.11,12772 have,694 want,N/A
"Grand Funk Railroad - Caught In The Act (2xLP, Album, Club, San)",$8.00,Rated: 4.00,194 have,40 want,N/A
"The Rolling Stones - Sweet Summer Sun - Hyde Park Live  (3xLP, Album + DVD-V, Ltd + Blu-ray + 3xCD, Album +)",$176.98,Rated: 4.43,57 have,63 want,N/A
"Pete Townshend - All The Best Cowboys Have Chinese Eyes (LP, Album, Spe)",$15.00,Rated: 3.84,930 have,27 want,N/A
"Led Zeppelin - In Through The Out Door (LP, Album, ""C"")",$15.00,Rated: 4.09,1887 have,422 want,N/A
"Led Zeppelin - The Soundtrack From The Film The Song Remains The Same (2xLP, Album, SRC)",$20.00,Rated: 4.20,10108 have,486 want,N/A
"Led Zeppelin - Led Zeppelin III (LP, Album, RI )",$47.99,Rated: 4.48,2004 have,1073 want,N/A
"Bruce Springsteen - Born In The U.S.A. (LP, Album, Car)",$12.00,Rated: 4.17,61148 have,6442 want,N/A
"Jose Jose* - El Principe (LP, Album)",$70.00,Rated: 4.67,26 have,165 want,N/A
"Parliament - Mothership Connection (LP, Album, RE, 72,)",$45.00,Rated: 4.00,77 have,465 want,N/A
"Journey - Infinity (LP, Album, Ter)",$12.00,Rated: 3.93,12746 have,1079 want,N/A
"Tashi Plays Messiaen* - Quartet For The End Of Time (LP, Album, Gat)",$7.99,Rated: 4.62,472 have,124 want,N/A
"Blue Öyster Cult - Secret Treaties (LP, Album, Pit)",$12.00,Rated: 4.19,6170 have,973 want,N/A
"Cat Stevens - Teaser And The Firecat (LP, Album, Pit)",$4.00,Rated: 4.02,14870 have,453 want,N/A
"Asexuals - Contemporary World (LP, Album)",$15.00,Rated: 3.73,278 have,73 want,N/A
"Mott The Hoople - Mott (LP, Album, San)",$10.00,Rated: 4.06,518 have,98 want,N/A
"Method Man & Redman - Blackout! 2 (2xLP, Album)",$99.99,Rated: 4.00,805 have,547 want,N/A
"King Crimson - USA (LP, Album, Pre)",$154.00,Rated: 4.34,1233 have,236 want,N/A
"Gijs Hendriks Band - It Takes Time (LP, Album)",$59.99,Rated: 4.55,38 have,110 want,N/A
"Lynyrd Skynyrd - Nuthin' Fancy (LP, Album, RE)",$15.00,Rated: 4.27,342 have,132 want,N/A
"The Who - Live At Leeds (LP, Album, RE)",$6.00,Rated: 4.33,2601 have,235 want,N/A
"Adam Ant - Friend Or Foe (LP, Album, Pit)",$5.00,Rated: 3.74,5143 have,151 want,N/A
"Wings (2) - London Town (LP, Album, Win)",$15.99,Rated: 3.85,8884 have,247 want,N/A
"永井龍雲 = Ryuun Nagai* - 暖寒 (LP, Album)",$10.99,Rated: 3.50,35 have,9 want,N/A
"The Beatles - Magical Mystery Tour (LP, Album, RE, Win)",$19.99,Rated: 4.43,2717 have,723 want,N/A
