album,price,rating,have,want,tier,popularity
Nilsson* - Knnillssonn,15.0,4.02,1340,215,Mid-Tier (Popular),0.1382636655948553
Rockin' Horse - Rockin' Horse,10.0,4.26,272,212,Mid-Tier (Popular),0.4380165289256198
The Beatles - Abbey Road,30.0,4.64,484,1053,Top Rated,0.6851008458035134
Rod Stewart - Foot Loose & Fancy Free,3.99,3.7,7628,110,Mid-Tier (Popular),0.01421555957611786
Bob Weir - Heaven Help The Fool,6.0,3.9,1770,92,Mid-Tier (Popular),0.04940923737916219
Keith Urban - Ripcord,20.0,4.23,816,127,Mid-Tier (Popular),0.13467656415694593
Aerosmith - Toys In The Attic,8.0,4.02,22835,2603,Mid-Tier (Popular),0.1023272269832534
The J. Geils Band - Bloodshot,5.0,3.5,143,38,Niche/Underground,0.20994475138121546
Phil Ochs - There But For Fortune,39.5,5.0,15,24,Niche/Underground,0.6153846153846154
Mott The Hoople - The Hoople,10.0,3.89,2561,144,Mid-Tier (Popular),0.05323475046210721
Electric Light Orchestra - A New World Record,7.0,4.11,12772,694,Mid-Tier (Popular),0.05153720481211941
Grand Funk Railroad - Caught In The Act,8.0,4.0,194,40,Niche/Underground,0.17094017094017094
The Rolling Stones - Sweet Summer Sun - Hyde Park Live,176.98,4.43,57,63,Mid-Tier (Popular),0.525
Pete Townshend - All The Best Cowboys Have Chinese Eyes,15.0,3.84,930,27,Niche/Underground,0.02821316614420063
Led Zeppelin - In Through The Out Door,15.0,4.09,1887,422,Mid-Tier (Popular),0.18276310090948464
Led Zeppelin - The Soundtrack From The Film The Song Remains The Same,20.0,4.2,10108,486,Mid-Tier (Popular),0.04587502359826317
Led Zeppelin - Led Zeppelin III,47.99,4.48,2004,1073,Mid-Tier (Popular),0.3487162820929477
Bruce Springsteen - Born In The U.S.A.,12.0,4.17,61148,6442,Mid-Tier (Popular),0.09530995709424471
Jose Jose* - El Principe,70.0,4.67,26,165,Top Rated,0.8638743455497382
Parliament - Mothership Connection,45.0,4.0,77,465,Mid-Tier (Popular),0.8579335793357934
Journey - Infinity,12.0,3.93,12746,1079,Mid-Tier (Popular),0.07804701627486438
Tashi Plays Messiaen* - Quartet For The End Of Time,7.99,4.62,472,124,Top Rated,0.2080536912751678
Blue Öyster Cult - Secret Treaties,12.0,4.19,6170,973,Mid-Tier (Popular),0.1362172756544869
Cat Stevens - Teaser And The Firecat,4.0,4.02,14870,453,Mid-Tier (Popular),0.029563401422697904
Asexuals - Contemporary World,15.0,3.73,278,73,Mid-Tier (Popular),0.20797720797720798
Mott The Hoople - Mott,10.0,4.06,518,98,Mid-Tier (Popular),0.1590909090909091
Method Man & Redman - Blackout! 2,99.99,4.0,805,547,Mid-Tier (Popular),0.40458579881656803
King Crimson - USA,154.0,4.34,1233,236,Mid-Tier (Popular),0.16065350578624915
Gijs Hendriks Band - It Takes Time,59.99,4.55,38,110,Top Rated,0.7432432432432432
Lynyrd Skynyrd - Nuthin' Fancy,15.0,4.27,342,132,Mid-Tier (Popular),0.27848101265822783
The Who - Live At Leeds,6.0,4.33,2601,235,Mid-Tier (Popular),0.08286318758815232
Adam Ant - Friend Or Foe,5.0,3.74,5143,151,Mid-Tier (Popular),0.028522856063468077
Wings - London Town,15.99,3.85,8884,247,Mid-Tier (Popular),0.027050706384842842
永井龍雲 = Ryuun Nagai* - 暖寒,10.99,3.5,35,9,Niche/Underground,0.20454545454545456
The Beatles - Magical Mystery Tour,19.99,4.43,2717,723,Mid-Tier (Popular),0.21017441860465116
Alvarez Guedes - 21,4.99,0.0,8,3,Low Priority,0.2727272727272727
Elton John - Don't Shoot Me I'm Only The Piano Player,5.99,4.01,7147,274,Mid-Tier (Popular),0.03692224767551543
Santana - Santana,3.99,4.19,14674,962,Mid-Tier (Popular),0.061524686620619086
Hugues Aufray - Garlick,14.21,3.77,266,9,Niche/Underground,0.03272727272727273
Wilbert Harrison - Wilbert Harrison,19.99,2.33,28,23,Low Priority,0.45098039215686275
Frank Sinatra - Come Fly With Me,20.99,4.6,86,54,Top Rated,0.38571428571428573
Various - Joy To The World,10.99,5.0,147,4,Niche/Underground,0.026490066225165563
Fabian - The Fabulous Fabian,7.99,3.68,714,33,Niche/Underground,0.04417670682730924
"Nelson Eddy ,  Skitch Henderson And His Orchestra* - A Starry Night",4.99,4.0,26,3,Niche/Underground,0.10344827586206896
Gary Morris - Hits,2.99,3.5,159,4,Niche/Underground,0.024539877300613498
Jim Reeves - Talkin' To Your Heart,2.99,2.6,146,10,Low Priority,0.0641025641025641
Dalida - Disque D'Or - La Chanson Du Mundial,6.99,0.0,37,15,Low Priority,0.28846153846153844
Gilbert Bécaud - Disque D'or,3.99,4.17,316,7,Niche/Underground,0.021671826625386997
Mantovani - Plays Music From Exodus And Other Great Themes,1.99,3.38,370,2,Low Priority,0.005376344086021506
Jack Greene - There Goes My Everything,4.99,4.71,206,13,Niche/Underground,0.0593607305936073
Jon Lucien - Romantico,2.99,4.33,121,84,Mid-Tier (Popular),0.4097560975609756
Various - Bean Blossom,6.99,4.17,644,50,Mid-Tier (Popular),0.07204610951008646
Buck Owens And His Buckaroos - Before You Go / No One But You,10.49,4.19,415,42,Mid-Tier (Popular),0.09190371991247265
Curved Air - Airborne,14.99,3.65,704,102,Mid-Tier (Popular),0.12655086848635236
Dionne Warwick - Dionne Warwick's Golden Hits - Part One,2.99,4.0,1082,24,Niche/Underground,0.0216998191681736
Scorpions - Lonesome Crow,43.99,4.0,302,211,Mid-Tier (Popular),0.41130604288499023
The Good Time Singers - One Step More,5.99,3.33,19,13,Low Priority,0.40625
Z.Z. Hill - Bluesmaster,5.99,4.16,472,22,Niche/Underground,0.044534412955465584
Kenny Rogers - Short Stories,2.99,3.57,366,16,Niche/Underground,0.041884816753926704
Mantovani And His Orchestra - Christmas Carols,1.99,4.24,395,16,Niche/Underground,0.038929440389294405
Mantovani And His Orchestra - Gems Forever...,1.99,3.93,369,5,Niche/Underground,0.013368983957219251
Ray Conniff - Alone Again,5.99,3.67,101,14,Niche/Underground,0.12173913043478261
Various - Live At The '101': Warts 'N' All,6.99,3.81,234,26,Niche/Underground,0.1
"Gershwin* / Andre Previn*, London Symphony Orchestra - Previn Plays Gershwin",1.99,4.5,85,9,Niche/Underground,0.09574468085106383
Russ Case And His Orchestra - Yesterdays: Memorable Melodies By Jerome Kern,3.49,0.0,21,5,Low Priority,0.19230769230769232
David Munrow & The Early Music Consort Of London - Henry VIII And His Six Wives:  Music From The Soundtrack Film,2.99,4.25,92,11,Niche/Underground,0.10679611650485436
